bromeliad_id,Class,Order,Family,Subfamily,Genus,Species,n,stage
B,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,4,unknown
B,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,adult
B1,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,17,larva
B1,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,19,larva
B1,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp1,1,larva
B1,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B1,Hexapoda,Diptera,Cecidomyiidae,NA,NA,sp1,1,larva
B2,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,12,larva
B2,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,7,larva
B2,Hexapoda,Diptera,NA,NA,NA,sp1,1,larva
B2,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
B2,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
B2,Hexapoda,Odonata,NA,NA,NA,sp1,1,larva
B2,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp3,1,larva
B2,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B2,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,3,larva
B2,Ostracoda,Podocopa,NA,NA,NA,sp1,6,unknown
B2,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,adult
B2,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B5,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,15,larva
B5,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,18,larva
B5,Hexapoda,Odonata,NA,NA,NA,sp1,2,larva
B5,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,pupa
B5,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,larva
B6,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,31,larva
B6,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,11,larva
B6,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,2,larva
B6,Hexapoda,Odonata,NA,NA,NA,sp1,1,larva
B6,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B6,Hexapoda,Coleoptera,Hydrophilidae,NA,NA,sp1,1,larva
B6,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B6,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B7,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,larva
B7,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
B7,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
B4,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,6,larva
B4,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,8,larva
B4,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,larva
B4,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B4,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B4,Hexapoda,Coleoptera,Curculionidae,NA,NA,sp1,1,larva
A,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
A,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,3,larva
A,Hexapoda,Diptera,Chironomidae,NA,NA,sp1,1,larva
D,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,12,larva
D,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
D,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
D,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,1,larva
C,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,4,larva
C,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp1,2,larva
C,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
C,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
C,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,1,larva
C,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,4,larva
C,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B3,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B3,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,10,larva
B3,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
B3,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B3,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B3,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B3,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,larva
E,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,8,larva
E,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,4,larva
E,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
E,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,larva
B17,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,1,unknown
B17,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,57,larva
B17,Ostracoda,Podocopa,NA,NA,NA,sp1,10,unknown
B17,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
B17,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,3,unknown
B17,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,3,larva
B17,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,pupa
B17,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B17,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,2,larva
B17,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
B13,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,adult
B13,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B13,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B13,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,8,larva
B13,Ostracoda,Podocopa,NA,NA,NA,sp1,3,unknown
B13,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,1,larva
B12,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,4,larva
B12,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,larva
B12,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B12,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B12,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,1,larva
B18,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,17,unknown
B18,Copepoda,NA,NA,NA,NA,sp1,3,unknown
B18,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,2,larva
B18,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
B18,Ostracoda,Podocopa,NA,NA,NA,sp1,2,unknown
B18,Hexapoda,Coleoptera,Dytiscidae,Hydroporinae,Desmopachria,sp1,1,larva
B10,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,3,larva
B10,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,10,unknown
B10,Ostracoda,Podocopa,NA,NA,NA,sp1,7,unknown
B10,Copepoda,NA,NA,NA,NA,sp1,2,unknown
B10,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B10,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,3,larva
B10,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,2,larva
B15,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,5,larva
B15,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,adult
B15,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,4,larva
B15,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,10,larva
B15,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,3,unknown
B15,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
B15,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B14,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,8,larva
B14,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,8,larva
B14,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,5,unknown
B14,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,7,larva
B14,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,2,larva
B14,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B11,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,8,larva
B11,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,2,larva
B11,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B11,Hexapoda,Diptera,Corethrellidae,NA,NA,sp1,1,larva
B11,Hexapoda,Coleoptera,Dytiscidae,NA,NA,sp1,1,larva
B11,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,3,unknown
B11,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,larva
B11,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B16,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,3,larva
B16,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,7,unknown
B16,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,8,larva
B16,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
B16,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,12,larva
B16,Hexapoda,Diptera,NA,NA,NA,sp1,1,pupa
B16,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,2,larva
B16,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B20,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,3,larva
B20,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,4,larva
B20,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,5,larva
B20,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,6,larva
B20,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
B20,Hexapoda,NA,NA,NA,NA,sp1,3,larva
B21,Hexapoda,NA,NA,NA,NA,sp1,1,larva
B21,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,6,unknown
B21,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,7,larva
B21,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B21,Hexapoda,Diptera,Syrphidae,NA,Quichuana,sp1,1,larva
B21,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,5,larva
B21,Hexapoda,NA,NA,NA,NA,sp1,2,larva
B21,Ostracoda,Podocopa,NA,NA,NA,sp1,11,unknown
B21,Copepoda,NA,NA,NA,NA,sp1,1,unknown
B21,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,1,larva
B21,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B27,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,10,larva
B27,Ostracoda,Podocopa,NA,NA,NA,sp1,26,unknown
B27,Hexapoda,NA,NA,NA,NA,sp1,1,larva
B27,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B27,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
B28,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B28,Ostracoda,Podocopa,NA,NA,NA,sp1,3,unknown
B28,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B29,Hexapoda,Odonata,NA,NA,NA,sp1,1,larva
B29,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,5,larva
B29,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,2,larva
B29,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
B29,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B29,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B29,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,2,larva
B29,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B29,Ostracoda,Podocopa,NA,NA,NA,sp1,3,unknown
B29,Hexapoda,Diptera,Drosophilidae,NA,NA,sp1,2,pupa
B26,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,10,larva
B26,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,1,larva
B26,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,13,larva
B26,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,5,larva
B26,Ostracoda,Podocopa,NA,NA,NA,sp1,8,unknown
B26,Hexapoda,Diptera,Culicidae,Anophelinae,Anopheles,homonculus,1,larva
B26,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B26,Hexapoda,Diptera,Culicidae,NA,NA,sp1,1,pupa
B26,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B26,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
B25,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,16,larva
B25,Ostracoda,Podocopa,NA,NA,NA,sp1,38,unknown
B25,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B25,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B24,Clitellata,Crassiclitellata,NA,NA,NA,sp1,11,unknown
B24,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,1,unknown
B24,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
B24,Ostracoda,Podocopa,NA,NA,NA,sp1,2,unknown
B24,Hexapoda,NA,NA,NA,NA,sp1,1,larva
B23,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,3,larva
B23,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,4,unknown
B23,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,10,larva
B23,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
B23,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
B23,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B23,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,2,unknown
B23,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B23,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp1,2,larva
B23,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B23,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,pupa
B22,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,4,unknown
B22,Clitellata,Crassiclitellata,NA,NA,NA,sp1,1,unknown
B22,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,20,larva
B22,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B22,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,6,larva
B22,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,7,larva
B22,Turbellaria,Tricladida,NA,NA,NA,sp1,1,unknown
B22,Hexapoda,Odonata,NA,NA,NA,sp1,1,larva
B22,Hexapoda,Odonata,NA,NA,NA,sp1,1,larva
B22,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp3,1,larva
B43,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,14,larva
B43,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,7,larva
B43,Ostracoda,Podocopa,NA,NA,NA,sp1,1,unknown
B43,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B47,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,5,larva
B47,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,larva
B47,Ostracoda,Podocopa,NA,NA,NA,sp1,16,unknown
B47,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B47,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
B47,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B42,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,14,larva
B42,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,7,larva
B42,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,36,larva
B42,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp2,2,larva
B42,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,3,larva
B42,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,6,larva
B42,Hexapoda,NA,NA,NA,NA,sp1,1,larva
B42,Hexapoda,Coleoptera,Hydrophilidae,NA,NA,sp2,1,larva
B42,Hexapoda,Odonata,NA,NA,NA,sp1,1,larva
B42,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,2,larva
B42,Hexapoda,Diptera,Drosophilidae,NA,NA,sp2,1,larva
B49,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,2,larva
B49,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B49,Hexapoda,Diptera,NA,NA,NA,sp1,1,larva
B49,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,2,larva
B49,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B45,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,3,larva
B45,Hexapoda,Diptera,Dolichopodidae,NA,NA,sp1,1,larva
B45,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,1,larva
B45,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B45,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B45,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp3,1,larva
B45,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp2,4,larva
B48,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,1,larva
B48,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B44,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B44,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,4,larva
B44,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,3,larva
B44,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B44,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,3,larva
B44,Hexapoda,Coleoptera,Hydrophilidae,NA,NA,sp1,1,larva
B44,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B44,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
B44,Hexapoda,NA,NA,NA,NA,sp1,1,larva
B46,Clitellata,Crassiclitella,Acanthodrilidae,Benhamiinae,Dichogaster,andina,3,unknown
B46,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,12,larva
B46,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,1,larva
B46,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B46,Hexapoda,NA,NA,NA,NA,sp1,1,larva
B46,Ostracoda,Podocopa,NA,NA,NA,sp1,20,unknown
B46,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,2,larva
B46,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,2,larva
B41,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,10,larva
B41,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,1,larva
B41,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B41,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,6,larva
B41,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,4,larva
B41,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,larva
B41,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B35,Ostracoda,Podocopa,NA,NA,NA,sp1,74,unknown
B35,Clitellata,Crassiclitellata,NA,NA,NA,sp1,1,unknown
B35,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,6,larva
B35,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,2,larva
B35,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,1,unknown
B35,Hexapoda,Diptera,Ceratopogonidae,Ceratopogoninae,NA,sp1,1,larva
B35,Turbellaria,Tricladida,NA,NA,NA,sp1,1,unknown
B35,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,1,larva
B35,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,1,larva
B35,Copepoda,NA,NA,NA,NA,sp1,1,unknown
B38,Hexapoda,Coleoptera,Scirtidae,NA,NA,sp1,14,larva
B38,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp1,1,larva
B38,Hexapoda,Diptera,Limoniidae,NA,NA,sp1,2,larva
B38,Hexapoda,Diptera,Chironomidae,Chironominae,Polypedilum,sp2,112,larva
B38,Ostracoda,Podocopa,NA,NA,NA,sp1,12,unknown
B38,Hexapoda,Diptera,Chironomidae,Tanypodinae,NA,sp1,4,larva
B38,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp4,9,larva
B38,Hexapoda,Diptera,Culicidae,Anophelinae,Anopheles,homonculus,5,larva
B38,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,3,larva
B38,Hexapoda,Diptera,Culicidae,Culicinae,Wyeomyia,sp1,1,larva
B38,Hexapoda,Diptera,Culicidae,Culicinae,Culiseta,sp2,12,larva
B38,Hexapoda,Diptera,Psychodidae,NA,NA,sp1,4,larva
B38,Clitellata,Haplotaxida,Enchytraeidae,NA,NA,sp1,2,unknown
B38,Hexapoda,Diptera,Corethrellidae,NA,NA,sp1,4,larva
B38,Hexapoda,Diptera,Ceratopogonidae,Forcipomyiinae,NA,sp2,3,larva
