site,date_collected,bromeliad_id_old,genus,distance_from_ground_cm,height_mm,width_mm,actual_volume_mL,water_holding_capacity_mL,longest_leaf_length_mm
las_lapas,19/09/2022,B2,guzmania,,22.4,78.4,200,340,
las_lapas,19/09/2022,B1,vriesea_guzmania,,32.9,63.2,150,100,
las_lapas,19/09/2022,B,vriesea,,39.9,63,30,240,
las_lapas,19/09/2022,B3,guzmania,,40.5,60,180,200,
las_lapas,19/09/2022,B4,other,,38,46,100,200,
las_lapas,19/09/2022,B5,guzmania,,54,53,130,200,
las_lapas,19/09/2022,B6,guzmania,,36,46,70,220,
las_lapas,19/09/2022,B7,vriesea_guzmania,,70,104,20,100,
las_lapas,19/09/2022,C,vriesea_guzmania,,54,86.5,65,120,
las_lapas,19/09/2022,A,guzmania,,49.5,31,0,205,
las_lapas,19/09/2022,D,vriesea_guzmania,,30,55.9,0,20,
las_lapas,19/09/2022,E,vriesea_guzmania,,41,61,,60,
morne_bleu,20/09/2022,B10,guzmania,,15,73,140,210,
morne_bleu,20/09/2022,B11,vriesea_guzmania,,32,86,60,100,
morne_bleu,20/09/2022,B12,vriesea_guzmania,,16,84,30,50,
morne_bleu,20/09/2022,B13,vriesea,,24,70,150,200,
morne_bleu,20/09/2022,B14,vriesea_guzmania,,10.8,103,150,100,
morne_bleu,20/09/2022,B15,vriesea_guzmania,,23,98,90,110,
morne_bleu,20/09/2022,B16,vriesea,,18,83,100,160,
morne_bleu,20/09/2022,B17,vriesea,,18,108,80,202,
morne_bleu,20/09/2022,B18,vriesea_guzmania,,24,34,150,100,
arima_valley,21/09/2022,B20,guzmania,,16,45.5,120,220,
arima_valley,21/09/2022,B21,vriesea_guzmania,,15,49.5,70,120,
arima_valley,21/09/2022,B22,aechmea,,,,520,,
arima_valley,21/09/2022,B22_a,aechmea,,,29,109,450,
arima_valley,21/09/2022,B22_b,aechmea,,,23,56,310,
arima_valley,21/09/2022,B22_c,aechmea,,,27,109,660,
arima_valley,21/09/2022,B23,tillandsia,,18.5,98.9,180,650,
arima_valley,21/09/2022,B24,vriesea_guzmania,,17,49,20,,
arima_valley,21/09/2022,B25,vriesea_guzmania,,17,75,50,75,
arima_valley,21/09/2022,B26,vriesea_guzmania,,16,67,60,80,
arima_valley,21/09/2022,B27,vriesea_guzmania,,12.5,47,20,100,
arima_valley,21/09/2022,B28,vriesea_guzmania,,16,28.5,0,80,
arima_valley,21/09/2022,B29,tillandsia,,20,47.5,10,250,
marianne_river,22/09/2022,B30,guzmania,,9.4,50.7,0,140,
marianne_river,22/09/2022,B31,guzmania,,10.2,75.9,,140,
marianne_river,22/09/2022,B32,guzmania,,19,15.6,100,240,
marianne_river,22/09/2022,B33,guzmania,,12.5,81,60,150,
marianne_river,22/09/2022,B34,guzmania,,14,88.5,90,200,
marianne_river,22/09/2022,B35,guzmania,,14,86.5,50,140,
marianne_river,22/09/2022,B36,vriesea,,14,112,60,200,
marianne_river,22/09/2022,B37,guzmania,,13,71.3,60,100,
marianne_river,22/09/2022,B38,guzmania,,11.9,74,70,170,
marianne_river,22/09/2022,B39,vriesea_guzmania,,19,68,20,250,
marianne_river,22/09/2022,B40,guzmania,,12.1,72.8,0,130,
brasso_seco,22/09/2022,B41,guzmania,,15.5,82.6,20,140,
brasso_seco,22/09/2022,B42,guzmania,,9.9,61.6,40,100,
brasso_seco,22/09/2022,B43,guzmania,,12,71,70,110,
brasso_seco,22/09/2022,B44,guzmania,,14,67,30,60,
brasso_seco,22/09/2022,B45,guzmania,,12,62.5,0,70,
brasso_seco,22/09/2022,B46,guzmania,,13,110,,140,
brasso_seco,22/09/2022,B47,guzmania,,17,64,60,160,
brasso_seco,22/09/2022,B48,guzmania,,15,50,30,80,
brasso_seco,22/09/2022,B49,guzmania,,21,90,,,
F1,22/09/2022,F1,vriesea_guzmania,,,,0,,
F2,22/09/2022,F2,vriesea_guzmania,,,,0,,
F3,22/09/2022,F3,guzmania,,15.4,57.2,0,200,
F3,22/09/2022,F4,vriesea_guzmania,,,,0,,
F3,22/09/2022,F5,vriesea_guzmania,,,,0,,
F6,22/09/2022,F6,vriesea_guzmania,,,,0,,
arima_valley,02/10/2022,T3,,,,,,,
arima_valley,02/10/2022,B50,tillandsia,,14,87,10,140,
arima_valley,02/10/2022,B51,vriesea_guzmania,,22,115,30,160,
arima_valley,02/10/2022,B52,guzmania,,13,51,80,170,
arima_valley,02/10/2022,B53,vriesea,,,,120,,
arima_valley,02/10/2022,B53_a,vriesea,,27.6,173.5,,450,
arima_valley,02/10/2022,B53_b,vriesea,,19.6,174.2,100,,
arima_valley,02/10/2022,B54,vriesea,,7.3,110.3,10,70,
arima_valley,02/10/2022,B55,vriesea_guzmania,,10.2,193.4,50,120,
arima_valley,02/10/2022,B56,guzmania,,8.1,41.1,0,,
F7,03/10/2022,B57,guzmania,,,,140,,
F7,03/10/2022,B57_a,guzmania,,28.1,77.1,,190,
F7,03/10/2022,B57_b,guzmania,,21.2,78.4,,300,
las_lapas,03/10/2022,B58,vriesea,,40.6,176.7,300,2000,97.9
las_lapas,03/10/2022,B59,guzmania,,18,83,10,175, 
las_lapas,03/10/2022,B60,guzmania,,16,103,5,115,
las_lapas,03/10/2022,B61,vriesea_guzmania,,12,73,5,50,
las_lapas,03/10/2022,B62,other,,,,10,,
las_lapas,03/10/2022,B62_a,other,,15,30.5,,200,
las_lapas,03/10/2022,B62_b,other,,10,30,,,
las_lapas,03/10/2022,B63,guzmania,,13,78,20,50,
las_lapas,03/10/2022,B64,guzmania,,12,69,0,50,
las_lapas,03/10/2022,B65,guzmania,,13,75,5,80,
brasso_seco,04/10/2022,B66,vriesea_guzmania,,23,80,50,170,
brasso_seco,04/10/2022,B67,guzmania,,18,94,30,150,
brasso_seco,04/10/2022,B68,guzmania,,24,69,60,220,
brasso_seco,04/10/2022,B69,vriesea_guzmania,,22,89,70,230,
brasso_seco,04/10/2022,B70,aechmea,,30,49,5,170,
brasso_seco,04/10/2022,B71,vriesea_guzmania,,13,52,5,70,
brasso_seco,04/10/2022,B72,guzmania,,16,70,10,180,
brasso_seco,04/10/2022,B73,guzmania,,17,58,10,90,
brasso_seco,04/10/2022,B74,guzmania,,,,110,,
brasso_seco,04/10/2022,B74_a,guzmania,,19,91,,230,
brasso_seco,04/10/2022,B74_b,guzmania,,14,60,,70,
brasso_seco,04/10/2022,B75,vriesea_guzmania,,11,70,10,60,
brasso_seco,04/10/2022,B76,vriesea_guzmania,,19,102,10,170,
brasso_seco,04/10/2022,B77,guzmania,,18,86,5,40,
brasso_seco,04/10/2022,B78,guzmania,,15,50,5,100,
brasso_seco,04/10/2022,B79,vriesea_guzmania,,,,220,,
brasso_seco,04/10/2022,B79_a,aechmea,,29,34,,200,
brasso_seco,04/10/2022,B79_b,aechmea,,34,40,,240,
brasso_seco,04/10/2022,B79_c,guzmania,,12,72,,50,
brasso_seco,04/10/2022,B80,vriesea_guzmania,,,,80,,
brasso_seco,04/10/2022,B80_a,guzmania,,8,45,,30,
brasso_seco,04/10/2022,B80_b,vriesea_guzmania,,13,35,,50,
brasso_seco,04/10/2022,B81,guzmania,,10,56,40,60,
brasso_seco,04/10/2022,B82,guzmania,,11,87,10,100,
brasso_seco,04/10/2022,B83,vriesea_guzmania,,17,72,60,160,
brasso_seco,04/10/2022,B84,guzmania,,13,43,10,30,
brasso_seco,04/10/2022,B85,guzmania,,15,62,15,50,
arima_valley,05/10/2022,B86,vriesea,,18,60,100,250,
arima_valley,05/10/2022,B87,vriesea,,20,72,10,30,
arima_valley,05/10/2022,B88,vriesea,,32,107,70,240,
arima_valley,05/10/2022,B89,vriesea,,30,170,40,200,
arima_valley,05/10/2022,B90,vriesea,,,,40,,89
arima_valley,05/10/2022,B91,vriesea,,,,80,,
arima_valley,05/10/2022,B91_a,vriesea,,11,82,,30,
arima_valley,05/10/2022,B91_b,vriesea,,20,115,,80,
arima_valley,05/10/2022,B92,vriesea,,,,10,,
arima_valley,05/10/2022,B92_a,vriesea,,19,109,,300,
arima_valley,05/10/2022,B92_b,vriesea,,5,40,,190,
brasso_seco,12/10/2022,B93,vriesea,,23,176,60,200,
arima_valley,24/10/2022,B94,aechmea,239.3,16,77.6,140,210,
brasso_seco,12/10/2022,B95,guzmania,131.3,12.5,97,40,60,
brasso_seco,12/10/2022,B96,guzmania,231.5,12.5,76.6,110,140,
brasso_seco,12/10/2022,B97,guzmania,132.6,11.9,84.3,90,130,
brasso_seco,12/10/2022,B98,guzmania,128.8,14.3,91.1,100,130,
brasso_seco,12/10/2022,B99,guzmania,126.5,11.5,96.5,120,120,
brasso_seco,12/10/2022,B100,guzmania,129,14.5,54.7,110,110,
brasso_seco,12/10/2022,B101,guzmania,183.2,13.8,45.3,90,120,
brasso_seco,12/10/2022,B102,guzmania,96.5,14.5,65.9,100,110,
brasso_seco,12/10/2022,B103,guzmania,107.6,12,67.3,100,150,
brasso_seco,12/10/2022,B104,guzmania,161.2,13.5,56.3,140,100,
brasso_seco,12/10/2022,B105,guzmania,182.2,21.7,86.8,250,350,
arima_valley,24/10/2022,B106,aechmea,247,22,99.3,180,350,
arima_valley,24/10/2022,B107,guzmania,271.1,11,47.5,40,110,
la_laja,25/10/2022,B108,vriesea,15,32.9,100,430,700,
la_laja,25/10/2022,B109,guzmania,128.6,12,44.5,50,160,
la_laja,25/10/2022,B110,vriesea,186.2,,,230,,
la_laja,25/10/2022,B110_a,vriesea,186.2,15.2,66.1,,410,
la_laja,25/10/2022,B110_b,vriesea,186.2,12.8,52.6,,250,
la_laja,25/10/2022,B111,guzmania,275.6,12.5,50.8,170,160,
la_laja,25/10/2022,B112,guzmania,184.4,14.5,56.2,180,340,
la_laja,25/10/2022,B113,guzmania,366.2,15.5,59.3,60,360,
la_laja,25/10/2022,B114,guzmania,261.3,11,55.2,40,160,
la_laja,25/10/2022,B115,guzmania,143,15.2,65.1,20,160,
la_laja,25/10/2022,B116,guzmania,179.9,13.5,89.9,0,80,
la_laja,25/10/2022,B117,guzmania,172.5,13.6,94.1,40,90,
